Month,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,182,428,350,186,151,268,100,182,201,294
Feb,410,167,452,179,439,231,210,229,388,337
Mar,423,493,373,465,271,356,240,393,101,332
Apr,315,424,128,138,249,267,350,269,254,130
May,443,134,323,399,210,386,214,100,408,246
Jun,353,467,168,395,93,321,344,425,132,465
Jul,419,171,446,343,114,285,160,499,129,439
Aug,467,81,469,133,185,339,389,270,481,297
Sep,123,241,281,349,430,383,350,294,331,269
Oct,375,292,287,316,417,446,132,359,489,296
Nov,331,267,459,120,236,94,380,144,424,406
Dec,88,423,208,215,142,218,160,471,242,498
